election_name,method,n_cands,sigma_UM_worst_case_asin,sigma_UM_average_asin,sigma_UM_worst_case_odds,sigma_UM_average_odds,sigma_UM_winner_set_worst_case_asin,sigma_UM_winner_set_average_asin,sigma_UM_winner_set_worst_case_odds,sigma_UM_winner_set_average_odds,sigma_IIA_worst_case,sigma_IIA_average,sigma_IIA_all_subset_worst_case,sigma_IIA_all_subset_average,sigma_IIA_winner_set_worst_case,sigma_IIA_winner_set_average
inverclyde_2017_ward1,plurality,5,0.7859806455032422,0.9785980645503243,0.8037135278514589,0.9803713527851459,1.0,1.0,1.0,1.0,0.6666666666666667,0.9333333333333333,0.0,0.9270833333333334,1.0,1.0
inverclyde_2017_ward1,stv,5,0.7859806455032422,0.9785980645503243,0.8037135278514589,0.9803713527851459,1.0,1.0,1.0,1.0,0.6666666666666667,0.9333333333333333,0.0,0.9270833333333334,1.0,1.0
inverclyde_2017_ward1,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward10,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward10,3-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward10,2-approval,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
aberdeenshire_2012_ward10,plurality,5,0.7726537077722394,0.9623263495306322,0.7822120866590649,0.9679632420498215,0.8506097875340821,0.9751016312556803,0.8974203338391501,0.9829033889731917,0.8333333333333334,0.9666666666666667,0.0,0.8802083333333334,1.0,0.9333333333333333
aberdeenshire_2012_ward10,stv,5,0.8506097875340821,0.9850609787534083,0.8974203338391501,0.9897420333839151,0.8506097875340821,0.9751016312556803,0.8974203338391501,0.9829033889731917,0.8333333333333334,0.9333333333333333,0.0,0.9166666666666666,1.0,0.9
aberdeenshire_2012_ward10,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
renfrewshire_2022_ward11,borda,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.0,0.9479166666666666,1.0,0.8
renfrewshire_2022_ward11,3-approval,5,0.793636748677924,0.968892897115445,0.8157931129857556,0.9763575341141815,0.8952922224765262,0.9825487037460876,0.9477822281560597,0.9912970380260099,1.0,1.0,1.0,1.0,1.0,1.0
renfrewshire_2022_ward11,2-approval,5,0.8598645947915733,0.9774622485901148,0.9089851701075892,0.9873965714854671,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.7447916666666667,1.0,1.0
renfrewshire_2022_ward11,plurality,5,0.8598645947915733,0.9774622485901148,0.9089851701075892,0.9873965714854671,1.0,1.0,1.0,1.0,0.8333333333333334,0.8666666666666667,0.0,0.875,1.0,0.9
renfrewshire_2022_ward11,stv,5,0.8598645947915733,0.9774622485901148,0.9089851701075892,0.9873965714854671,1.0,1.0,1.0,1.0,0.6666666666666667,0.8333333333333334,0.0,0.8697916666666667,1.0,1.0
renfrewshire_2022_ward11,ranked-pairs,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
