election_name,n_cands,sigma_UM_worst_case_asin,sigma_UM_winner_set_worst_case_asin,sigma_IIA_winner_set_average,sigma_IIA_average
aberdeenshire_2012_ward13,5,0.8461232885629834,1.0,1.0,0.8666666666666667
aberdeenshire_2012_ward10,5,0.8506097875340821,0.8506097875340821,0.9,0.9333333333333333
shetland_2017_ward7,5,0.8804490677905493,0.9299337137530185,0.9333333333333333,0.9666666666666667
renfrewshire_2022_ward11,5,0.8598645947915733,1.0,1.0,0.8333333333333334
fife_2012_ward18,5,0.6986484704123992,1.0,1.0,0.9
angus_2022_ward2,5,0.8134973072643171,1.0,1.0,0.9
south_ayrshire_2017_ward4,5,1.0,1.0,0.9,0.9
perth_kinross_2012_ward3,5,0.7646378215131889,1.0,1.0,0.9666666666666667
east_ayrshire_2012_ward4,5,1.0,1.0,1.0,0.8666666666666667
east_lothian_2012_ward2,5,0.7501281559375628,0.7736689173103346,0.9,0.8666666666666667
north_lanarkshire_2022_ward21,5,0.641097034263591,0.641097034263591,0.7333333333333333,0.7666666666666666
highland_2022_tain_and_easter_ross,5,0.7873834902725916,0.7873834902725916,0.9,0.9
shetland_2022_ward7,5,0.8834997370215675,1.0,1.0,0.9333333333333333
moray_2022_ward2,5,1.0,1.0,0.9,0.9666666666666667
south_ayrshire_2012_ward3,5,0.7245877131021777,0.7245877131021777,0.9333333333333332,0.8
aberdeenshire_2012_ward15,5,0.8122523805207581,0.8348955812340383,1.0,1.0
inverclyde_2017_ward1,5,0.7859806455032422,1.0,1.0,0.9333333333333333
aberdeenshire_2017_ward15,5,0.7754357870677916,1.0,1.0,0.9666666666666667
dumgal_2017_ward11,5,0.8584494199340914,1.0,1.0,1.0
aberdeenshire_2017_ward9,5,1.0,1.0,0.8666666666666666,0.8666666666666667
dumgal_2022_ward7,5,0.7633596619137543,0.8432422366098772,0.8333333333333333,0.8
aberdeenshire_2017_ward10,6,1.0,1.0,0.9166666666666666,0.9
renfrewshire_2022_ward8,6,0.796947676018562,1.0,1.0,0.9333333333333333
sc_borders_2012_ward5,6,0.8275167780037372,0.8275167780037372,0.8333333333333334,0.9833333333333333
east_ayrshire_2022_ward1,6,0.808661066711227,0.8529770026324717,0.9444444444444443,0.8333333333333334
shetland_2017_ward3,6,0.8966533866169978,1.0,1.0,1.0
argyll_bute_2012_ward8,6,1.0,1.0,1.0,0.9833333333333333
north_lanarkshire_2012_ward19,6,1.0,1.0,0.9444444444444445,0.95
aberdeenshire_2022_ward7,6,0.8860960269515546,1.0,0.9444444444444443,0.8166666666666667
clackmannanshire_2017_ward3,6,0.7040306447436521,0.7040306447436521,0.8333333333333334,0.9166666666666666
west_lothian_2022_ward1,6,0.7841913017859735,1.0,1.0,0.9166666666666666
