metric_iia,metric_um,rule,tiebreak,candidate_size,iia_L,iia_U,um_L,um_U,n_pairs,sizes_used,overlap_counts_by_size
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,12.0,0.999431818181818,1.0,0.9895037432827936,1.0,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,13.0,0.9988344988344989,1.0,0.9917142566607686,1.0,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,ranked-pairs,lex,14.0,1.0,1.0,1.0,1.0,1,"[""14""]","{""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,,0.9401611090752429,0.9465374874022632,0.8013511928307481,0.8139311273864905,1070,"[""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14""]","{""3"": 2, ""4"": 36, ""5"": 110, ""6"": 205, ""7"": 282, ""8"": 207, ""9"": 118, ""10"": 69, ""11"": 26, ""12"": 8, ""13"": 6, ""14"": 1}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,3.0,1.0,1.0,1.0,1.0,2,"[""3""]","{""3"": 2}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,4.0,0.8726851851851851,0.9513888888888888,0.8597505897580368,0.9300298670383464,36,"[""4""]","{""4"": 36}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,5.0,0.8869696969696971,0.9181818181818183,0.824160015170407,0.8712122550038417,110,"[""5""]","{""5"": 110}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,6.0,0.9232510162601623,0.9376422764227641,0.8213750904206746,0.8493634505722754,205,"[""6""]","{""6"": 205}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,7.0,0.9384325396825376,0.9474164133738588,0.7891657704157394,0.8134763580958471,282,"[""7""]","{""7"": 282}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,8.0,0.9537612146307811,0.9603174603174622,0.77713461743173,0.8002298337710997,207,"[""8""]","{""8"": 207}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,9.0,0.9601156846919552,0.9662698412698406,0.7615289234441137,0.7924196231752135,118,"[""9""]","{""9"": 118}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,10.0,0.9638083735909821,0.9716586151368757,0.7447309911296383,0.7854615254421182,69,"[""10""]","{""10"": 69}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,11.0,0.9686868686868688,0.9784770784770784,0.7463697324751988,0.7995798812793559,26,"[""11""]","{""11"": 26}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,12.0,0.9702651515151515,0.9785984848484848,0.7364479491523405,0.8046434568901045,8,"[""12""]","{""12"": 8}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,13.0,0.9729992229992229,0.9887334887334888,0.750992186700728,0.8409831446148704,6,"[""13""]","{""13"": 6}"
sigma_IIA_average,sigma_UM_worst_case_asin,stv,lex,14.0,0.9844322344322345,0.9844322344322345,0.7343828050802157,0.7343828050802157,1,"[""14""]","{""14"": 1}"
