VoteKit PreferenceProfile
Candidates
(Zohran Kwame Mamdani:Zo),(overvote:ov),(Jessica Ramos:Je),(Write-in:Wr),(Paperboy Love Prince:Pa),(Michael Blake:Mi),(Zellnor Myrie:Ze),(Whitney R. Tilson:Wh),(Brad Lander:Br),(Andrew M. Cuomo:An),(Selma K. Bartholomew:Se),(Adrienne E. Adams:Ad),(Scott M. Stringer:Sc)
Max Ranking Length
5
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
&,Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,&,Weight,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Wh'},&,5/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},{'Ze'},&,15/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},,&,41/1,&
&,{'Ad'},{'An'},{'Br'},,,&,1/1,&
&,{'Ad'},{'An'},{'Br'},,,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Je'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Mi'},,&,3/1,&
&,{'Ad'},{'An'},{'Br'},{'Sc'},,&,4/1,&
&,{'Ad'},{'An'},{'Br'},{'Wh'},,&,1/1,&
&,{'Ad'},{'An'},{'Br'},{'Ze'},,&,2/1,&
&,{'Ad'},{'An'},{'Br'},{'Zo'},,&,3/1,&
&,{'Ad'},{'An'},{'Br'},,,&,304/1,&
&,{'Ad'},{'An'},{'Je'},,,&,1/1,&
&,{'Ad'},{'An'},{'Je'},,,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Mi'},&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Pa'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Sc'},&,11/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Se'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Wh'},&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Wr'},&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Ze'},&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},{'Zo'},&,9/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},,&,11/1,&
&,{'Ad'},{'An'},{'Je'},,,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Br'},&,18/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Pa'},&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Sc'},&,15/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Se'},&,6/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Wh'},&,7/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Ze'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},{'Zo'},&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},,&,7/1,&
&,{'Ad'},{'An'},{'Je'},{'Pa'},{'Sc'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Pa'},{'Se'},&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Pa'},{'Wh'},&,3/1,&
&,{'Ad'},{'An'},{'Je'},{'Pa'},{'Ze'},&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Pa'},{'Zo'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Br'},&,20/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Mi'},&,15/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Pa'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Se'},&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Wh'},&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Ze'},&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},{'Zo'},&,14/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},,&,7/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Br'},&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Mi'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Pa'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Sc'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Wh'},&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Ze'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},{'Zo'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Se'},,&,3/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Br'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Mi'},&,33/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Pa'},&,3/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Sc'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Se'},&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Ze'},&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},{'Zo'},&,6/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},,&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Wh'},,&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Br'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Mi'},&,8/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Pa'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Sc'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Se'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Wh'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},{'Zo'},&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Ze'},,&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Br'},&,5/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Mi'},&,10/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Pa'},&,2/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Sc'},&,7/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Se'},&,4/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Wh'},&,7/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},{'Ze'},&,6/1,&
&,{'Ad'},{'An'},{'Je'},{'Zo'},,&,4/1,&
&,{'Ad'},{'An'},{'Je'},,,&,2/1,&
&,{'Ad'},{'An'},{'Je'},,,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Br'},,&,3/1,&
&,{'Ad'},{'An'},{'Je'},{'Mi'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},{'Sc'},,&,1/1,&
&,{'Ad'},{'An'},{'Je'},,,&,1/1,&
&,{'Ad'},{'An'},{'Je'},,,&,82/1,&
&,{'Ad'},{'An'},{'Mi'},,,&,3/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},,&,2/1,&
&,{'Ad'},{'An'},{'Mi'},,,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Je'},&,6/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Pa'},&,9/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Sc'},&,42/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Se'},&,4/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Wh'},&,4/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Ze'},&,11/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},{'Zo'},&,22/1,&
&,{'Ad'},{'An'},{'Mi'},{'Br'},,&,23/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Br'},&,5/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Pa'},&,2/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Sc'},&,6/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Se'},&,6/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Wh'},&,2/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Wr'},&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Ze'},&,3/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},{'Zo'},&,8/1,&
&,{'Ad'},{'An'},{'Mi'},{'Je'},,&,3/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},{'Je'},&,2/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},{'Sc'},&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},{'Se'},&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},{'Wh'},&,5/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},{'Wr'},&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},{'Zo'},&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Pa'},,&,3/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Br'},&,25/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Je'},&,17/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Pa'},&,4/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Se'},&,7/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Wh'},&,7/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Ze'},&,20/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},{'Zo'},&,21/1,&
&,{'Ad'},{'An'},{'Mi'},{'Sc'},,&,20/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Br'},&,3/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Je'},&,5/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},,&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Pa'},&,4/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Sc'},&,2/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Wh'},&,2/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Wr'},&,1/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Ze'},&,4/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},{'Zo'},&,8/1,&
&,{'Ad'},{'An'},{'Mi'},{'Se'},,&,4/1,&
&,{'Ad'},{'An'},{'Mi'},{'Wh'},{'Br'},&,2/1,&
