VoteKit RankProfile
Candidates
(Terrence Hayes:Terren),(Cayle Tern:Cayle ),(Michael (Mike) Sands:Michae),(Thomas Shervey:Thomas),(Loretta Smith:Lorett),(Noah Ernst:Noah E),(Deian Salazar:Deian ),(Joe Furi:Joe Fu),(Peggy Sue Owens:Peggy ),(Jamie Dunphy:Jamie ),(Joe Allen:Joe Al),(Timur Ender:Timur ),(David Linn:David ),(Steph Routh:Steph ),(Doug Clove:Doug C),(Candace Avalos:Candac)
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Candac'},{'Steph '},{'Jamie '},{'Timur '},{'Joe Al'},{'Terren'},&,1.0,&
{'Noah E'},{'Doug C'},{'Joe Al'},,,,&,1.0,&
{'Timur '},{'Lorett'},{'David '},,,,&,1.0,&
{'Terren'},,,,,,&,1.0,&
{'Timur '},{'Candac'},{'Jamie '},{'Steph '},{'Cayle '},{'Lorett'},&,1.0,&
{'Lorett'},,,,,,&,1.0,&
{'Michae'},,,,,,&,1.0,&
{'Noah E'},{'Timur '},{'David '},{'Michae'},{'Thomas'},{'Peggy '},&,1.0,&
{'Lorett'},,,,,,&,1.0,&
{'Joe Fu'},,,,,,&,1.0,&
{'Lorett'},{'Terren'},{'Jamie '},{'Steph '},{'Candac'},,&,1.0,&
{'Jamie '},{'Michae'},{'Candac'},,,,&,1.0,&
{'Timur '},{'Candac'},,,,,&,1.0,&
{'Noah E'},{'Jamie '},{'Michae'},{'Steph '},{'Thomas'},,&,1.0,&
{'Jamie '},{'Steph '},{'Timur '},{'Candac'},,,&,1.0,&
{'Peggy '},{'Joe Al'},{'Lorett'},{'David '},{'Michae'},,&,1.0,&
{'Noah E'},{'Joe Fu'},{'Terren'},{'Doug C'},,,&,1.0,&
{'Terren'},{'Lorett'},{'Jamie '},{'Deian '},{'Candac'},,&,1.0,&
{'Timur '},,,,,,&,1.0,&
{'Candac'},{'Steph '},{'Lorett'},{'Peggy '},{'Jamie '},{'Cayle '},&,1.0,&
{'Terren'},{'Noah E'},{'Lorett'},{'Candac'},,,&,1.0,&
{'Peggy '},{'Candac'},{'Jamie '},{'Lorett'},{'Steph '},{'Cayle '},&,1.0,&
{'Michae'},{'Lorett'},{'Candac'},{'Timur '},{'Cayle '},{'Jamie '},&,1.0,&
{'Joe Al'},{'Terren'},,,,,&,1.0,&
{'Joe Fu'},,,,,,&,1.0,&
{'Timur '},{'Noah E'},{'Doug C'},{'Lorett'},{'Steph '},{'Thomas'},&,1.0,&
{'Jamie '},{'Steph '},{'Candac'},{'Noah E'},,,&,1.0,&
{'Steph '},{'Candac'},{'Timur '},{'David '},{'Noah E'},,&,1.0,&
{'Lorett'},,,,,,&,1.0,&
{'Deian '},{'Noah E'},{'Steph '},{'Candac'},{'Joe Al'},,&,1.0,&
{'Timur '},{'Jamie '},{'Lorett'},{'Candac'},{'Terren'},,&,1.0,&
{'Noah E'},{'Terren'},{'Joe Fu'},{'Lorett'},{'Doug C'},,&,1.0,&
{'Terren'},{'Noah E'},{'Timur '},,,,&,1.0,&
{'Lorett'},{'Steph '},,,,,&,1.0,&
{'Candac'},{'Steph '},{'David '},,,,&,1.0,&
{'Terren'},{'Lorett'},,,,,&,1.0,&
{'Timur '},{'Candac'},{'Steph '},{'Lorett'},{'Terren'},{'Jamie '},&,1.0,&
{'Joe Al'},{'Joe Fu'},{'Timur '},{'Noah E'},{'Lorett'},{'Peggy '},&,1.0,&
{'Timur '},,,,,,&,1.0,&
{'Candac'},{'Jamie '},{'Lorett'},{'Timur '},{'Steph '},,&,1.0,&
{'Joe Fu'},{'Doug C'},{'Michae'},{'Steph '},{'Terren'},{'Timur '},&,1.0,&
{'Joe Al'},{'Doug C'},{'Thomas'},{'Joe Fu'},{'Michae'},{'Jamie '},&,1.0,&
{'Timur '},{'Noah E'},{'David '},,,,&,1.0,&
{'Candac'},{'Steph '},{'Jamie '},{'Deian '},{'Timur '},,&,1.0,&
{'Thomas'},{'Terren'},,,,,&,1.0,&
{'Candac'},{'Timur '},{'Steph '},{'Cayle '},{'Jamie '},{'David '},&,1.0,&
{'Lorett'},{'Candac'},{'Peggy '},{'Michae'},{'David '},{'Noah E'},&,1.0,&
{'Candac'},{'Steph '},{'Jamie '},{'Lorett'},{'Timur '},,&,1.0,&
{'Jamie '},{'Candac'},{'Steph '},{'Noah E'},{'David '},{'Lorett'},&,1.0,&
{'Terren'},{'Timur '},{'Cayle '},{'Steph '},{'Thomas'},{'Candac'},&,1.0,&
{'Terren'},{'Candac'},{'Joe Al'},,,,&,1.0,&
{'Peggy '},{'Timur '},{'Noah E'},{'Candac'},{'Joe Al'},{'David '},&,1.0,&
{'Terren'},{'Lorett'},{'Steph '},{'Timur '},{'Candac'},{'Noah E'},&,1.0,&
{'Candac'},{'Cayle '},,,,,&,1.0,&
{'Timur '},{'Candac'},{'Steph '},{'Jamie '},{'Deian '},,&,1.0,&
{'Lorett'},{'Jamie '},,,,,&,1.0,&
{'Terren'},{'Noah E'},{'Steph '},,,,&,1.0,&
{'Candac'},{'Timur '},{'Noah E'},,,,&,1.0,&
{'Michae'},{'Deian '},{'Peggy '},{'Jamie '},{'Lorett'},{'Candac'},&,1.0,&
{'Candac'},{'Deian '},,,,,&,1.0,&
{'Noah E'},{'Terren'},{'Joe Fu'},{'Lorett'},{'Doug C'},,&,1.0,&
{'Joe Al'},{'Peggy '},{'Joe Fu'},{'Thomas'},{'Jamie '},{'David '},&,1.0,&
{'Joe Al'},{'Lorett'},{'Timur '},{'Doug C'},{'Jamie '},{'Steph '},&,1.0,&
{'Lorett'},{'Terren'},{'Steph '},{'Jamie '},,,&,1.0,&
