VoteKit RankProfile
Candidates
(Laura Streib:Laura ),(Michelle DePass:Michel),(Nabil Zaghloul:Nabil ),(Jennifer Park:Jennif),(Will Mespelt:Will M),(Debbie Kitchin:Debbie),(Chris Olson:Chris ),(Jonathan Tasini:Jonath),(Antonio Jamal PettyJohnBlue:Antoni),(Nat West:Nat We),(Reuben Berlin:Reuben),(Marnie Glickman:Marnie),(Sameer Kanal:Sameer),(Tiffani Penson:Tiffan),(Elana Pirtle-Guiney:Elana ),(Sam Sachs:Sam Sa),(Dan Ryan:Dan Ry),(Bob Simril:Bob Si),(Liz Taylor:Liz Ta),(Mariah Hudson:Mariah),(Michael (Mike) Marshall:Michae),(James Armstrong:James )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Dan Ry'},{'Tiffan'},{'Nat We'},{'Sameer'},,,&,1.0,&
{'Tiffan'},{'Sameer'},{'Jennif'},{'James '},,,&,1.0,&
{'Mariah'},{'James '},{'Jennif'},{'Dan Ry'},{'Tiffan'},{'Elana '},&,1.0,&
{'Michel'},{'Elana '},{'Mariah'},{'Dan Ry'},{'Michae'},{'Tiffan'},&,1.0,&
{'Nat We'},{'Chris '},{'Elana '},{'Laura '},{'Debbie'},{'Jonath'},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'James '},{'Reuben'},{'Mariah'},,,,&,1.0,&
{'Michel'},{'Marnie'},{'Tiffan'},{'Mariah'},{'Antoni'},{'Elana '},&,1.0,&
{'Michel'},{'Dan Ry'},{'Debbie'},{'Tiffan'},{'Jennif'},{'Laura '},&,1.0,&
{'Dan Ry'},{'Mariah'},{'Michel'},{'Jonath'},{'Tiffan'},{'Sameer'},&,1.0,&
{'Sam Sa'},{'Mariah'},,,,,&,1.0,&
{'Nat We'},{'Dan Ry'},{'James '},{'Michel'},{'Reuben'},{'Elana '},&,1.0,&
{'Bob Si'},{'Mariah'},{'Tiffan'},{'Marnie'},{'Chris '},{'Laura '},&,1.0,&
{'Sameer'},{'Tiffan'},{'Debbie'},,,,&,1.0,&
{'Tiffan'},{'Marnie'},{'Michel'},{'Sameer'},{'Debbie'},{'Jonath'},&,1.0,&
{'Nat We'},{'Elana '},{'Debbie'},{'Sameer'},{'Michel'},{'Marnie'},&,1.0,&
{'Mariah'},{'Tiffan'},{'Michel'},{'Dan Ry'},{'Bob Si'},{'Marnie'},&,1.0,&
{'Dan Ry'},{'Nabil '},{'Marnie'},{'Tiffan'},{'James '},{'Mariah'},&,1.0,&
{'Marnie'},{'Dan Ry'},{'Nat We'},{'Bob Si'},,,&,1.0,&
{'Elana '},{'Mariah'},{'Dan Ry'},{'James '},{'Michae'},{'Sameer'},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Nat We'},{'Reuben'},{'Will M'},{'Antoni'},{'Sam Sa'},{'Michel'},&,1.0,&
{'Dan Ry'},,,,,,&,1.0,&
{'Sameer'},{'Debbie'},{'Nat We'},{'Tiffan'},{'Marnie'},{'Mariah'},&,1.0,&
{'Nat We'},{'Sameer'},{'Mariah'},,,,&,1.0,&
{'Dan Ry'},{'Marnie'},{'Mariah'},{'Bob Si'},{'James '},{'Debbie'},&,1.0,&
{'James '},{'Reuben'},{'Sameer'},{'Debbie'},{'Will M'},{'Michel'},&,1.0,&
